Target,Probe AS,Group ID,Country,Probe Count,Latitude,Longitude,Neighbor Count,Neighbors,Probe IDs,Median RTT (ms),RTT Range (ms),Min RTT (ms),Max RTT (ms)
Valve AS32590,AS1257,AS1257-1,SE,5,59.316100000000006,18.0231,2,"AS1299, AS3320","10748, 16108, 28402, 34481, 35659",33.81,9.381999999999998,28.469,37.851
Valve AS32590,AS15502,AS15502-1,IE,7,53.301785714285714,-6.257785714285714,2,"AS1299, AS6830","1004440, 1009089, 1009796, 16930, 18283, 53795, 62081",28.201,5.3409999999999975,25.411,30.752
Valve AS32590,AS204471,AS204471-1,IT,4,45.76975,13.6865,2,"AS41327, AS9002","1005522, 60239, 62308, 7181",34.690749999999994,31.448999999999998,17.244,48.693
Valve AS32590,AS20712,AS20712-1,GB,15,51.603899999999996,-0.4649,2,"AS1299, AS20712","1002237, 1008845, 1008846, 12359, 12378, 16928, 19533, 209, 22037, 26102, 3570, 50870, 53849, 55104, 60273",21.866500000000002,20.397,17.713,38.11
Valve AS32590,AS20712,AS20712-2,GB,6,50.90233333333333,-1.3458333333333332,2,"AS1299, AS20712","1004238, 1008615, 22759, 24167, 54169, 825",23.023,5.5885,20.707,26.2955
Valve AS32590,AS20845,AS20845-1,HU,5,47.4841,19.1085,2,"AS1299, AS9002","1000789, 11415, 16612, 61616, 64337",16.273,2.583499999999999,14.903,17.4865
Valve AS32590,AS2860,AS2860-1,PT,15,41.220033333333326,-8.580633333333333,2,"AS2860, AS3320","1001018, 1001020, 1001066, 1001067, 1001294, 1001337, 1001690, 1001858, 1001903, 1001905, 1001908, 1003001, 1003011, 1009113, 27102",63.23,11.6665,54.4255,66.092
Valve AS32590,AS29314,AS29314-1,PL,2,53.021,18.628,2,"AS1299, AS9002","32409, 65527",32.728,15.586000000000002,24.935,40.521
Valve AS32590,AS29518,AS29518-1,SE,4,56.629000000000005,12.9075,2,"AS1299, AS29518","30772, 32352, 50798, 53620",33.92075,1.9369999999999976,33.042,34.979
Valve AS32590,AS29518,AS29518-2,SE,3,55.79416666666666,13.0685,2,"AS1299, AS29518","1009117, 17918, 62777",32.338,5.974999999999994,30.006,35.980999999999995
Valve AS32590,AS29695,AS29695-1,NO,10,59.643600000000006,10.354600000000001,2,"AS2914, AS29695","1001345, 16769, 19479, 20299, 26854, 28369, 33519, 35478, 54513, 64234",26.1325,7.183,24.813,31.996
Valve AS32590,AS3209,AS3209-1,DE,78,49.00421794871795,9.389641025641026,2,"AS3209, AS6830","1000376, 1000480, 1001758, 1002482, 1004203, 1004205, 1004229, 1005630, 1006170, 1006450, 1006471, 1006974, 1007534, 1008826, 1009090, 1009752, 1010135, 1010220, 10636, 11106, 12501, 13106, 15049, 15199, 20354, 21313, 21441, 24357, 26827, 2715, 27796, 28765, 28886, 28895, 29289, 29386, 29387, 2941, 29503, 29682, 29698, 29748, 3017, 30759, 30800, 31701, 31902, 31959, 32652, 34943, 35053, 35663, 4150, 4193, 4251, 50828, 51077, 51094, 51308, 52340, 52368, 52831, 54082, 54104, 54584, 60331, 60380, 60659, 60833, 61130, 61343, 61376, 61389, 61493, 61562, 62349, 65096, 81",14.718499999999999,21.0025,3.648,24.6505
Valve AS32590,AS3209,AS3209-2,DE,35,51.248757142857144,6.846242857142857,2,"AS3209, AS6830","1000948, 1001142, 1005055, 1005563, 1006412, 1007757, 1010087, 1338, 14111, 14294, 15812, 16188, 164, 19267, 21339, 24907, 28125, 29219, 29227, 29389, 30919, 30990, 32045, 33480, 35441, 4943, 52980, 53297, 53337, 55087, 55365, 60180, 60244, 61507, 62471",16.433,20.909,5.587,26.496
Valve AS32590,AS3209,AS3209-3,DE,9,51.92438888888889,8.781500000000001,2,"AS3209, AS6830","1006062, 1008105, 1009377, 1010215, 13677, 2168, 24174, 50002, 53039",17.019,7.287499999999998,13.771,21.0585
Valve AS32590,AS3209,AS3209-4,DE,6,47.928333333333335,7.9768333333333326,2,"AS3209, AS6830","1000827, 1004239, 26808, 29215, 32134, 32360",17.2215,12.425,13.262,25.687
Valve AS32590,AS3209,AS3209-5,DE,5,51.3053,9.5137,2,"AS3209, AS6830","1002092, 1005908, 1006240, 15087, 62423",15.796,5.386999999999999,10.949,16.336
Valve AS32590,AS3209,AS3209-6,DE,2,47.6375,9.560500000000001,2,"AS3209, AS6830","52491, 52750",16.8155,0.7070000000000007,16.462,17.169
Valve AS32590,AS33915,AS33915-1,NL,59,52.019686440677965,5.0449237288135595,2,"AS33915, AS6830","10016, 1003194, 1003900, 1004788, 1005285, 1007920, 1007930, 1009633, 1009782, 1009938, 10890, 11540, 11740, 11917, 12771, 13308, 14118, 14256, 16961, 17948, 17950, 17984, 17997, 19119, 19680, 2047, 2114, 23426, 24434, 26028, 26232, 26610, 2797, 28431, 28512, 28616, 29930, 3081, 3113, 3170, 32303, 32399, 3494, 3967, 438, 51268, 52429, 52952, 53517, 53742, 54234, 54724, 54891, 55032, 55354, 60240, 61071, 62068, 63009",16.836,18.878,12.811,31.689
Valve AS32590,AS34984,AS34984-1,TR,4,40.9995,29.1595,2,"AS6762, AS6830","1002729, 64093, 64150, 64837",45.260000000000005,10.125,39.157,49.282
Valve AS32590,AS47217,AS47217-1,IT,2,45.5235,8.859,2,"AS1299, AS6762","24553, 60233",32.852,22.706,21.499,44.205
Valve AS32590,AS5378,AS5378-1,GB,5,51.373900000000006,-0.0749,2,"AS12956, AS3320","1000729, 1002852, 1002856, 1007359, 54331",19.3485,2.4840000000000018,18.435,20.919
Valve AS32590,AS5378,AS5378-2,GB,4,55.836,-4.311249999999999,2,"AS2914, AS6762","1002564, 16033, 16312, 62130",28.7785,4.609999999999999,26.345,30.955
